pair_id,algo,x,y
8,RRT,60.74,48.82
8,RRT,58.16,50.35
8,RRT,55.85,52.27
8,RRT,52.99,53.19
8,RRT,50.41,54.71
8,RRT,49.32,57.51
8,RRT,47.14,59.56
8,RRT,44.5,60.99
8,RRT,41.79,62.28
8,RRT,38.95,61.32
8,RRT,37.07,63.66
8,RRT,34.66,61.87
8,RRT,31.7,61.4
8,RRT,29.88,63.78
8,RRT,28.99,66.65
8,RRT,27.12,68.99
8,RRT,28.29,71.75
8,RRT,28.1,74.87
8,RRT,26.85,77.59
8,RRT,29.25,79.38
8,RRT,30.57,82.08
8,RRT,33.39,81.06
8,RRT,36.28,80.26
8,RRT,38.96,81.61
8,RRT,41.44,83.3
8,RRT,42.74,86.0
8,RRT,41.31,88.64
8,RRT,40.31,88.53
8,RRT,37.32,88.74
8,RRT,35.78,91.84
8,RRT,37.98,93.88
8,RRT,40.39,95.66
8,RRT,43.39,95.86
8,RRT,46.26,96.74
8,RRT,49.25,96.84
8,RRT,52.23,96.5
8,RRT,54.08,94.13
8,RRT,56.24,96.21
8,RRT,59.19,95.65
8,RRT,61.47,93.7
8,RRT,64.45,93.35
8,RRT,66.84,95.15
8,RRT,69.24,93.34
8,RRT,72.1,94.25
8,RRT,75.06,93.78
8,RRT,78.01,93.23
8,RRT,80.9,92.41
8,RRT,83.78,91.6
8,RRT,86.8,91.45
8,RRT,89.59,90.35
8,RRT,92.38,89.24
8,RRT,93.0,89.0
9,RRT,73.0,87.0
9,RRT,70.0,87.1
9,RRT,69.77,84.11
9,RRT,68.09,81.62
9,RRT,69.15,78.81
9,RRT,67.61,76.24
9,RRT,66.41,73.48
9,RRT,63.66,72.28
9,RRT,64.19,69.33
9,RRT,66.72,67.7
9,RRT,68.34,65.18
9,RRT,69.91,62.63
9,RRT,71.05,59.85
9,RRT,71.68,56.92
9,RRT,73.08,55.71
9,RRT,75.42,53.82
9,RRT,74.44,50.99
9,RRT,74.09,48.01
9,RRT,75.65,45.44
9,RRT,75.68,42.44
9,RRT,72.8,41.6
9,RRT,70.6,39.57
9,RRT,68.01,38.05
9,RRT,65.69,36.15
9,RRT,62.95,34.93
9,RRT,60.31,33.5
9,RRT,57.97,31.62
9,RRT,58.56,28.68
9,RRT,57.21,26.0
9,RRT,57.14,23.0
9,RRT,55.11,20.79
9,RRT,52.85,18.82
9,RRT,51.09,16.39
9,RRT,48.28,15.35
9,RRT,45.3,15.04
9,RRT,43.72,12.49
9,RRT,40.85,13.37
9,RRT,38.01,14.34
9,RRT,35.05,14.82
9,RRT,32.12,15.48
9,RRT,29.53,17.0
9,RRT,28.25,19.71
9,RRT,26.56,22.19
9,RRT,25.52,25.0
9,RRT,24.16,27.68
9,RRT,26.8,29.09
9,RRT,29.7,29.86
9,RRT,32.6,30.63
9,RRT,34.0,31.0
10,RRT,47.0,93.0
10,RRT,49.98,93.33
10,RRT,52.96,93.68
10,RRT,54.55,91.13
10,RRT,55.46,92.48
10,RRT,58.38,93.19
10,RRT,60.78,91.39
10,RRT,63.01,89.39
10,RRT,65.67,90.78
10,RRT,67.59,88.48
10,RRT,70.55,87.98
10,RRT,71.26,90.9
10,RRT,74.08,91.93
10,RRT,74.07,88.48
10,RRT,76.03,86.21
10,RRT,77.05,83.39
10,RRT,77.87,80.5
10,RRT,80.61,79.27
10,RRT,79.85,76.36
10,RRT,79.72,73.37
10,RRT,80.64,70.51
10,RRT,82.2,67.95
10,RRT,80.96,65.22
10,RRT,81.6,62.29
10,RRT,80.94,59.36
10,RRT,80.51,56.39
10,RRT,82.5,54.14
10,RRT,84.5,51.91
10,RRT,83.78,48.99
10,RRT,82.42,46.32
10,RRT,84.42,44.08
10,RRT,84.59,41.08
10,RRT,85.29,38.17
10,RRT,84.09,35.42
10,RRT,84.91,32.54
10,RRT,84.38,29.58
10,RRT,82.56,27.2
10,RRT,79.66,26.42
10,RRT,80.08,23.45
10,RRT,77.7,21.63
10,RRT,74.74,22.12
10,RRT,71.92,21.07
10,RRT,70.1,18.69
10,RRT,67.19,17.95
10,RRT,64.24,18.47
10,RRT,61.41,17.47
10,RRT,58.58,16.46
10,RRT,55.76,15.45
10,RRT,53.3,17.17
10,RRT,50.59,15.88
10,RRT,49.7,13.01
10,RRT,46.86,12.05
10,RRT,43.98,11.21
10,RRT,40.98,11.02
10,RRT,39.15,13.39
10,RRT,36.24,12.66
10,RRT,33.29,12.09
10,RRT,32.55,9.18
10,RRT,32.0,7.0
11,RRT,7.0,3.0
11,RRT,8.36,5.68
11,RRT,8.65,8.66
11,RRT,10.33,11.15
11,RRT,11.81,13.76
11,RRT,13.66,16.12
11,RRT,14.25,19.06
11,RRT,16.7,20.79
11,RRT,15.57,23.56
11,RRT,17.5,25.86
11,RRT,18.68,28.62
11,RRT,21.53,29.55
11,RRT,23.78,31.54
11,RRT,22.07,34.0
11,RRT,23.2,36.78
11,RRT,21.8,39.44
11,RRT,20.08,41.9
11,RRT,17.43,43.29
11,RRT,14.43,43.37
11,RRT,13.88,46.32
11,RRT,13.15,49.22
11,RRT,13.43,52.21
11,RRT,14.34,55.07
11,RRT,14.94,58.01
11,RRT,16.79,60.37
11,RRT,17.35,63.45
11,RRT,20.23,62.61
11,RRT,22.35,64.73
11,RRT,23.81,67.35
11,RRT,24.85,70.16
11,RRT,27.07,72.18
11,RRT,30.03,71.68
11,RRT,32.53,73.34
11,RRT,34.23,74.53
11,RRT,36.26,76.74
11,RRT,38.29,78.95
11,RRT,40.31,81.16
11,RRT,42.0,83.0
12,RRT,91.0,60.0
12,RRT,92.83,57.62
12,RRT,92.1,54.71
12,RRT,94.42,52.81
12,RRT,92.71,50.35
12,RRT,92.34,47.08
12,RRT,93.41,44.28
12,RRT,93.86,41.31
12,RRT,94.1,38.32
12,RRT,94.22,35.32
12,RRT,94.97,32.42
12,RRT,95.38,29.45
12,RRT,95.31,26.45
12,RRT,94.62,23.53
12,RRT,92.82,21.13
12,RRT,91.7,18.35
12,RRT,90.29,15.7
12,RRT,89.78,12.74
12,RRT,86.83,12.22
12,RRT,84.03,11.12
12,RRT,81.03,11.04
12,RRT,78.04,11.25
12,RRT,75.04,11.29
12,RRT,72.97,13.46
12,RRT,69.99,13.16
12,RRT,68.09,10.83
12,RRT,69.13,8.0
12,RRT,66.94,5.94
12,RRT,64.0,5.37
12,RRT,61.01,5.63
12,RRT,58.03,6.0
12,RRT,55.28,7.19
12,RRT,52.3,6.89
12,RRT,49.51,8.0
12,RRT,46.56,8.56
12,RRT,44.3,10.53
12,RRT,41.31,10.23
12,RRT,39.0,10.0
13,RRT,51.0,18.0
13,RRT,51.24,20.99
13,RRT,49.44,23.39
13,RRT,50.43,26.23
13,RRT,52.14,28.69
13,RRT,50.29,31.05
13,RRT,48.72,33.61
13,RRT,49.08,36.59
13,RRT,46.31,37.74
13,RRT,43.37,37.14
13,RRT,40.38,37.33
13,RRT,37.43,36.76
13,RRT,34.62,37.79
